Component,Part Number,Description,Quantity
802-10342 : Main Configuration Boxing Labe l (CFS),0MNWR,"SYSTEM INTEGRATION, CFS, INFORMATION, PID, BOXING-LBL",1
802-10026 : APJ CFS Info identifier,9V18J,"INSTRUCTION, CFS-IDENTIFIER, ORIGINAL DEVELOPMENT MANAGER",1
,NYJ6N,"INFORMATION, CFS-INDENTIFIER, ASIA PACIFIC",1
"692-40913 : SI,CFS,MOD,INFO,PID,AP2013007",0DRJ9,"SYSTEM INTEGRATION, CFS, INFORMATION, PID, AP2013007",1
"692-29083 : MOD,INFO,CFS-INDENTIFIER,AP,224K4",NYJ6N,"INFORMATION, CFS-INDENTIFIER, ASIA PACIFIC",1
,9V18J,"INSTRUCTION, CFS-IDENTIFIER, ORIGINAL DEVELOPMENT MANAGER",1
658-BCUI : Additional Software (Windows 1 0),15V18,"SERVICE CHARGE, SOFTWARE, DELL-UPDATE, UWP",1
,58R15,"SERVICE CHARGE, SOFTWARE, DELL-UPDATE",1
,44C2D,"INFORMATION, ROYALTY, NETFLIX",1
,83VMP,"INFORMATION, .NET@V, 47000",1
,PT0YN,"SERVICE CHARGE, SOFTWARE, MICROSOFT, TRANSLATOR, W10",1
,HJ69H,"INFORMATION, ROYALTY, SCREENOVATE, DELL MARKETING COMMUNICATION, REST OF WORLD",1
,PMGWT,"SERVICE CHARGE, SOFTWARE, DELL MARKETING COMMUNICATION",1
,W171T,"SERVICE CHARGE, SOFTWARE, DDRE, CSMB",1
,0K1F2,"SERVICE CHARGE, SOFTWARE, DROPBOX",1
,CRJV6,"INFORMATION, WINRE-ADDR, 12, GB-PTN",1
,29GT3,"INFORMATION, ROYALTY, DROPBOX, FACTORY INSTALL",1
,7VDFT,"SERVICE CHARGE, SOFTWARE, OTB, SURV",1
,1WY72,"INFORMATION, SOFTWARE, KS, REGISTRATION",1
,KNG45,"SERVICE CHARGE, SOFTWARE, APPIAN, KS, REGISTRATION",1
,WPPJ3,"SERVICE CHARGE, SOFTWARE, APPIAN, LRN-CTR",1
,334CH,"SERVICE CHARGE, SOFTWARE, APPIAN, SACLIENT",1
